,created_at,tweet_count,retweet_count,favorite_count,multiplied_senti,Date,Close,Volume,Price_Trend,Volume_Trend
0,2019-08-11 23:00:00,4,0.0,13.0,8.9963772546042,2019-08-11 23:00:00,11513.4,0.39962846,1.0,1.0
1,2019-08-11 23:20:00,4,6.0,5.0,12.266490793930199,2019-08-11 23:20:00,11505.33,0.0,1.0,1.0
2,2019-08-11 23:40:00,3,4.0,15.0,8.460260509050762,2019-08-11 23:40:00,11516.23,1.33364726,1.0,1.0
3,2019-08-12 00:00:00,4,0.0,14.0,-4.452023926149879,2019-08-12 00:00:00,11535.39,9.04211809,1.0,1.0
4,2019-08-12 00:20:00,3,0.0,0.0,-0.41490368010936707,2019-08-12 00:20:00,11498.0,0.0,1.0,1.0
5,2019-08-12 00:40:00,5,2.0,3.0,4.4204970127104275,2019-08-12 00:40:00,11480.04,0.00314077,0.0,0.0
6,2019-08-12 01:00:00,51,317.0,709.0,27.751900228881627,2019-08-12 01:00:00,11467.2,0.0,1.0,0.0
7,2019-08-12 01:20:00,73,74.0,313.0,97.6870448082258,2019-08-12 01:20:00,11485.48,0.0,0.0,0.0
8,2019-08-12 01:40:00,84,54.0,298.0,113.80639494684216,2019-08-12 01:40:00,11496.69,0.00595084,1.0,0.0
9,2019-08-12 02:00:00,106,71.0,242.0,105.13291680846821,2019-08-12 02:00:00,11475.56,0.0,0.0,0.0
10,2019-08-12 02:20:00,92,52.0,268.0,83.731974020237,2019-08-12 02:20:00,11472.67,0.00078111,1.0,0.0
11,2019-08-12 02:40:00,87,66.0,195.0,93.50340382393848,2019-08-12 02:40:00,11465.2,0.00841915,1.0,1.0
12,2019-08-12 03:00:00,106,251.0,399.0,88.20157087127095,2019-08-12 03:00:00,11433.8,0.03693822,1.0,1.0
13,2019-08-12 03:20:00,68,152.0,231.0,80.20621672325238,2019-08-12 03:20:00,11444.15,0.60455345,1.0,1.0
14,2019-08-12 03:40:00,89,184.0,280.0,105.21210008844783,2019-08-12 03:40:00,11439.85,0.0,1.0,1.0
15,2019-08-12 04:00:00,117,105.0,328.0,110.91025239189379,2019-08-12 04:00:00,11434.17,0.01004155,1.0,0.0
